city,line,station,order,lat,lng
Москва,Калининская,Новокосино,0,55.745113,37.864052
Москва,Калининская,Новогиреево,1,55.752237,37.814587
Москва,Калининская,Перово,2,55.75098,37.78422
Москва,Калининская,Шоссе Энтузиастов,3,55.75809,37.751703
Москва,Калининская,Авиамоторная,4,55.751933,37.717444
Москва,Калининская,Площадь Ильича,5,55.747115,37.680726
Москва,Калининская,Марксистская,6,55.740746,37.65604
Москва,Калининская,Третьяковская,7,55.741125,37.626142
Москва,Замоскворецкая,Ховрино,0,55.8777,37.4877
Москва,Замоскворецкая,Беломорская,1,55.8651,37.4764
Москва,Замоскворецкая,Речной вокзал,2,55.854152,37.476728
Москва,Замоскворецкая,Водный стадион,3,55.838978,37.487515
Москва,Замоскворецкая,Войковская,4,55.818923,37.497791
Москва,Замоскворецкая,Сокол,5,55.805564,37.515245
Москва,Замоскворецкая,Аэропорт,6,55.800441,37.530477
Москва,Замоскворецкая,Динамо,7,55.789704,37.558212
Москва,Замоскворецкая,Белорусская,8,55.777439,37.582107
Москва,Замоскворецкая,Маяковская,9,55.769808,37.596192
Москва,Замоскворецкая,Тверская,10,55.765343,37.603918
Москва,Замоскворецкая,Театральная,11,55.758808,37.61768
Москва,Замоскворецкая,Новокузнецкая,12,55.742391,37.62928
Москва,Замоскворецкая,Павелецкая,13,55.729741,37.638693
Москва,Замоскворецкая,Автозаводская,14,55.706634,37.657008
Москва,Замоскворецкая,Технопарк,15,55.695,37.664167
Москва,Замоскворецкая,Коломенская,16,55.677423,37.663719
Москва,Замоскворецкая,Каширская,17,55.655745,37.649683
Москва,Замоскворецкая,Кантемировская,18,55.636107,37.656218
Москва,Замоскворецкая,Царицыно,19,55.620982,37.669612
Москва,Замоскворецкая,Орехово,20,55.61269,37.695214
Москва,Замоскворецкая,Домодедовская,21,55.610131,37.717111
Москва,Замоскворецкая,Красногвардейская,22,55.614075,37.742697
Москва,Замоскворецкая,Алма-Атинская,23,55.63349,37.765678
Москва,Калужско-Рижская,Медведково,0,55.888103,37.661562
Москва,Калужско-Рижская,Бабушкинская,1,55.870641,37.664341
Москва,Калужско-Рижская,Свиблово,2,55.855558,37.653379
Москва,Калужско-Рижская,Ботанический сад,3,55.844597,37.637811
Москва,Калужско-Рижская,ВДНХ,4,55.819626,37.640751
Москва,Калужско-Рижская,Алексеевская,5,55.807794,37.638699
Москва,Калужско-Рижская,Рижская,6,55.792494,37.636114
Москва,Калужско-Рижская,Проспект Мира,7,55.781827,37.633199
Москва,Калужско-Рижская,Сухаревская,8,55.772315,37.63285
Москва,Калужско-Рижская,Тургеневская,9,55.765371,37.636732
Москва,Калужско-Рижская,Китай-город,10,55.756498,37.631326
Москва,Калужско-Рижская,Третьяковская,11,55.74073,37.625624
Москва,Калужско-Рижская,Октябрьская,12,55.731232,37.612851
Москва,Калужско-Рижская,Шаболовская,13,55.718828,37.607892
Москва,Калужско-Рижская,Ленинский проспект,14,55.70678,37.58499
Москва,Калужско-Рижская,Академическая,15,55.687147,37.5723
Москва,Калужско-Рижская,Профсоюзная,16,55.677671,37.562595
Москва,Калужско-Рижская,Новые Черемушки,17,55.670077,37.554493
Москва,Калужско-Рижская,Калужская,18,55.656682,37.540075
Москва,Калужско-Рижская,Беляево,19,55.642357,37.526115
Москва,Калужско-Рижская,Коньково,20,55.631857,37.519156
Москва,Калужско-Рижская,Теплый Стан,21,55.61873,37.505912
Москва,Калужско-Рижская,Ясенево,22,55.606182,37.5334
Москва,Калужско-Рижская,Новоясеневская,23,55.601947,37.553017
Москва,Сокольническая,Бульвар Рокоссовского,0,55.814916,37.732227
Москва,Сокольническая,Черкизовская,1,55.802787,37.744863
Москва,Сокольническая,Преображенская площадь,2,55.796322,37.713582
Москва,Сокольническая,Сокольники,3,55.789282,37.679895
Москва,Сокольническая,Красносельская,4,55.780014,37.666097
Москва,Сокольническая,Комсомольская,5,55.774072,37.654565
Москва,Сокольническая,Красные ворота,6,55.768307,37.6478
Москва,Сокольническая,Чистые пруды,7,55.76499,37.638293
Москва,Сокольническая,Лубянка,8,55.759889,37.625336
Москва,Сокольническая,Охотный ряд,9,55.757228,37.615078
Москва,Сокольническая,Библиотека им.Ленина,10,55.752123,37.610388
Москва,Сокольническая,Кропоткинская,11,55.745297,37.604217
Москва,Сокольническая,Парк культуры,12,55.736163,37.595027
Москва,Сокольническая,Фрунзенская,13,55.727462,37.58022
Москва,Сокольническая,Спортивная,14,55.722388,37.562041
Москва,Сокольническая,Воробьевы горы,15,55.709169,37.557293
Москва,Сокольническая,Университет,16,55.69329,37.534511
Москва,Сокольническая,Проспект Вернадского,17,55.676549,37.504584
Москва,Сокольническая,Юго-Западная,18,55.663146,37.482852
Москва,Сокольническая,Тропарево,19,55.6459,37.4725
Москва,Сокольническая,Румянцево,20,55.633,37.4419
Москва,Сокольническая,Саларьево,21,55.6227,37.424
Москва,Сокольническая,Филатов луг,22,55.5997,37.4075
Москва,Сокольническая,Прокшино,23,55.5813,37.4425
Москва,Сокольническая,Ольховая,24,55.5692,37.4589
Москва,Сокольническая,Коммунарка,25,55.559765,37.468716
Москва,Арбатско-Покровская,Щелковская,0,55.809962,37.798261
Москва,Арбатско-Покровская,Первомайская,1,55.794376,37.799364
Москва,Арбатско-Покровская,Измайловская,2,55.787713,37.779896
Москва,Арбатско-Покровская,Партизанская,3,55.788401,37.74882
Москва,Арбатско-Покровская,Семеновская,4,55.783096,37.719289
Москва,Арбатско-Покровская,Электрозаводская,5,55.782057,37.7053
Москва,Арбатско-Покровская,Бауманская,6,55.772405,37.67904
Москва,Арбатско-Покровская,Курская,7,55.758564,37.659039
Москва,Арбатско-Покровская,Площадь Революции,8,55.756741,37.62236
Москва,Арбатско-Покровская,Арбатская,9,55.752312,37.60349
Москва,Арбатско-Покровская,Смоленская,10,55.747713,37.583802
Москва,Арбатско-Покровская,Киевская,11,55.743117,37.564132
Москва,Арбатско-Покровская,Парк Победы,12,55.735679,37.516865
Москва,Арбатско-Покровская,Славянский бульвар,13,55.729542,37.470973
Москва,Арбатско-Покровская,Кунцевская,14,55.730673,37.446522
Москва,Арбатско-Покровская,Молодежная,15,55.741375,37.415627
Москва,Арбатско-Покровская,Крылатское,16,55.756842,37.408139
Москва,Арбатско-Покровская,Строгино,17,55.803831,37.402405
Москва,Арбатско-Покровская,Мякинино,18,55.823342,37.385214
Москва,Арбатско-Покровская,Волоколамская,19,55.835154,37.382453
Москва,Арбатско-Покровская,Митино,20,55.846098,37.36122
Москва,Арбатско-Покровская,Пятницкое шоссе,21,55.853634,37.353108
Москва,Филевская,Кунцевская,0,55.730815,37.446754
Москва,Филевская,Пионерская,1,55.736027,37.466728
