city,line,station,order,lat,lng
Санкт-Петербург,Кировско-Выборгская,Девяткино,0,60.050182,30.443045
Санкт-Петербург,Кировско-Выборгская,Гражданский проспект,1,60.034969,30.418224
Санкт-Петербург,Кировско-Выборгская,Академическая,2,60.012806,30.396044
Санкт-Петербург,Кировско-Выборгская,Политехническая,3,60.008942,30.370907
Санкт-Петербург,Кировско-Выборгская,Площадь Мужества,4,59.999828,30.366159
Санкт-Петербург,Кировско-Выборгская,Лесная,5,59.984947,30.344259
Санкт-Петербург,Кировско-Выборгская,Выборгская,6,59.970925,30.347408
Санкт-Петербург,Кировско-Выборгская,Площадь Ленина,7,59.955611,30.35605
Санкт-Петербург,Кировско-Выборгская,Чернышевская,8,59.94453,30.359919
Санкт-Петербург,Кировско-Выборгская,Площадь Восстания,9,59.930279,30.361069
Санкт-Петербург,Кировско-Выборгская,Владимирская,10,59.927628,30.347898
Санкт-Петербург,Кировско-Выборгская,Пушкинская,11,59.92065,30.329599
Санкт-Петербург,Кировско-Выборгская,Технологический институт 1,12,59.916512,30.318485
Санкт-Петербург,Кировско-Выборгская,Балтийская,13,59.907211,30.299578
Санкт-Петербург,Кировско-Выборгская,Нарвская,14,59.901218,30.274908
Санкт-Петербург,Кировско-Выборгская,Кировский завод,15,59.879688,30.261921
Санкт-Петербург,Кировско-Выборгская,Автово,16,59.867325,30.261337
Санкт-Петербург,Кировско-Выборгская,Ленинский проспект,17,59.85117,30.268274
Санкт-Петербург,Кировско-Выборгская,Проспект Ветеранов,18,59.84211,30.250588
Санкт-Петербург,Московско-Петроградская,Парнас,0,60.06699,30.333839
Санкт-Петербург,Московско-Петроградская,Проспект Просвещения,1,60.051456,30.332544
Санкт-Петербург,Московско-Петроградская,Озерки,2,60.037098,30.321495
Санкт-Петербург,Московско-Петроградская,Удельная,3,60.016697,30.315607
Санкт-Петербург,Московско-Петроградская,Пионерская,4,60.002487,30.296759
Санкт-Петербург,Московско-Петроградская,Чёрная речка,5,59.985455,30.300833
