date,price
2023-08-29,13169719.0
2023-08-30,12899976.0
2023-08-31,12834081.0
2023-09-01,12865207.0
2023-09-02,13016187.0
2023-09-03,13288589.0
2023-09-04,13470540.0
2023-09-05,13540891.0
2023-09-06,13576942.0
2023-09-07,13599049.0
2023-09-08,13615529.0
2023-09-09,13631484.0
2023-09-10,13649071.0
2023-09-11,13668506.0
2023-09-12,13689039.0
2023-09-13,13709577.0
2023-09-14,13729124.0
2023-09-15,13746916.0
2023-09-16,13762526.0
2023-09-17,13775815.0
2023-09-18,13786907.0
2023-09-19,13795956.0
2023-09-20,13803274.0
2023-09-21,13809093.0
2023-09-22,13813677.0
2023-09-23,13817234.0
2023-09-24,13819975.0
2023-09-25,13822058.0
2023-09-26,13823613.0
2023-09-27,13824774.0
2023-09-28,13825617.0
2023-09-29,13826198.0
2023-09-30,13826593.0
2023-10-01,13826883.0
2023-10-02,13827094.0
2023-10-03,13827226.0
2023-10-04,13827358.0
2023-10-05,13827516.0
2023-10-06,13827701.0
2023-10-07,13827965.0
2023-10-08,13828307.0
2023-10-09,13828730.0
2023-10-10,13829283.0
2023-10-11,13829969.0
2023-10-12,13830813.0
2023-10-13,13831789.0
2023-10-14,13832977.0
2023-10-15,13834375.0
2023-10-16,13835958.0
2023-10-17,13837753.0
2023-10-18,13839786.0
2023-10-19,13842056.0
2023-10-20,13844538.0
2023-10-21,13847258.0
2023-10-22,13850243.0
2023-10-23,13853440.0
2023-10-24,13856902.0
2023-10-25,13860602.0
2023-10-26,13864595.0
2023-10-27,13868827.0
2023-10-28,13873351.0
2023-10-29,13878141.0
2023-10-30,13883224.0
2023-10-31,13888574.0
2023-11-01,13894244.0
2023-11-02,13900182.0
2023-11-03,13906440.0
2023-11-04,13912993.0
2023-11-05,13919842.0
2023-11-06,13926985.0
2023-11-07,13934452.0
2023-11-08,13942215.0
2023-11-09,13950301.0
2023-11-10,13958659.0
2023-11-11,13967287.0
2023-11-12,13976162.0
2023-11-13,13985308.0
2023-11-14,13994701.0
2023-11-15,14004313.0
2023-11-16,14014173.0
2023-11-17,14024254.0
2023-11-18,14034556.0
2023-11-19,14045080.0
2023-11-20,14055800.0
2023-11-21,14066716.0
2023-11-22,14077828.0
2023-11-23,14089137.0
2023-11-24,14100643.0
2023-11-25,14112293.0
2023-11-26,14124115.0
