date,price
2023-08-29,80863790.0
2023-08-30,15677208.0
2023-08-31,12921892.0
2023-09-01,15541180.0
2023-09-02,20807942.0
2023-09-03,19969510.0
2023-09-04,19567844.0
2023-09-05,19287304.0
2023-09-06,19147178.0
2023-09-07,19104606.0
2023-09-08,19097246.0
2023-09-09,19098666.0
2023-09-10,19101034.0
2023-09-11,19102092.0
2023-09-12,19101180.0
2023-09-13,19098412.0
2023-09-14,19093932.0
2023-09-15,19087960.0
2023-09-16,19080752.0
2023-09-17,19072530.0
2023-09-18,19063400.0
2023-09-19,19053586.0
2023-09-20,19043196.0
2023-09-21,19032338.0
2023-09-22,19021088.0
2023-09-23,19009518.0
2023-09-24,18997774.0
2023-09-25,18985820.0
2023-09-26,18973766.0
2023-09-27,18961646.0
2023-09-28,18949534.0
2023-09-29,18937430.0
2023-09-30,18925370.0
2023-10-01,18913460.0
2023-10-02,18901632.0
2023-10-03,18889990.0
2023-10-04,18878572.0
2023-10-05,18867378.0
2023-10-06,18856442.0
2023-10-07,18845834.0
2023-10-08,18835556.0
2023-10-09,18825644.0
2023-10-10,18816130.0
2023-10-11,18807052.0
2023-10-12,18798482.0
2023-10-13,18790416.0
2023-10-14,18782926.0
2023-10-15,18776014.0
2023-10-16,18769784.0
2023-10-17,18764200.0
2023-10-18,18759404.0
2023-10-19,18755362.0
2023-10-20,18752142.0
2023-10-21,18749710.0
2023-10-22,18748136.0
2023-10-23,18747422.0
2023-10-24,18747600.0
2023-10-25,18748672.0
2023-10-26,18750640.0
2023-10-27,18753536.0
2023-10-28,18757364.0
2023-10-29,18762196.0
2023-10-30,18767994.0
2023-10-31,18774796.0
2023-11-01,18782604.0
2023-11-02,18791420.0
2023-11-03,18801278.0
2023-11-04,18812184.0
2023-11-05,18824100.0
2023-11-06,18837102.0
2023-11-07,18851154.0
2023-11-08,18866298.0
2023-11-09,18882462.0
2023-11-10,18899650.0
2023-11-11,18917790.0
2023-11-12,18936888.0
2023-11-13,18956872.0
2023-11-14,18977746.0
2023-11-15,18999550.0
2023-11-16,19022176.0
2023-11-17,19045666.0
2023-11-18,19070020.0
2023-11-19,19095134.0
2023-11-20,19121084.0
2023-11-21,19147798.0
2023-11-22,19175282.0
2023-11-23,19203502.0
2023-11-24,19232422.0
2023-11-25,19262048.0
2023-11-26,19292382.0
