date,price
2023-08-29,5317922.5
2023-08-30,5360725.5
2023-08-31,5260580.0
2023-09-01,5213920.5
2023-09-02,5202824.0
2023-09-03,5195922.0
2023-09-04,5191810.5
2023-09-05,5189360.5
2023-09-06,5187707.5
2023-09-07,5186446.5
2023-09-08,5185402.5
2023-09-09,5184493.0
2023-09-10,5183677.0
2023-09-11,5182921.0
2023-09-12,5182214.0
2023-09-13,5181557.0
2023-09-14,5180934.0
2023-09-15,5180346.5
2023-09-16,5179788.0
2023-09-17,5179259.5
2023-09-18,5178760.5
2023-09-19,5178291.5
2023-09-20,5177852.0
2023-09-21,5177442.0
2023-09-22,5177062.0
2023-09-23,5176706.5
2023-09-24,5176380.5
2023-09-25,5176089.5
2023-09-26,5175828.0
2023-09-27,5175596.0
2023-09-28,5175403.5
2023-09-29,5175240.5
2023-09-30,5175122.0
2023-10-01,5175043.0
2023-10-02,5175003.5
2023-10-03,5175013.5
2023-10-04,5175072.5
2023-10-05,5175186.0
2023-10-06,5175354.0
2023-10-07,5175581.0
2023-10-08,5175872.0
2023-10-09,5176232.5
2023-10-10,5176667.0
2023-10-11,5177175.5
2023-10-12,5177768.0
2023-10-13,5178454.5
2023-10-14,5179230.0
2023-10-15,5180104.0
2023-10-16,5181087.5
2023-10-17,5182174.5
2023-10-18,5183385.5
2023-10-19,5184725.5
2023-10-20,5186179.0
2023-10-21,5187747.5
2023-10-22,5189434.5
2023-10-23,5191241.5
2023-10-24,5193177.5
2023-10-25,5195233.0
2023-10-26,5197413.5
2023-10-27,5199724.0
2023-10-28,5202164.5
2023-10-29,5204735.0
2023-10-30,5207445.5
2023-10-31,5210287.0
2023-11-01,5213269.5
2023-11-02,5216392.5
2023-11-03,5219652.0
2023-11-04,5223053.0
2023-11-05,5226595.5
2023-11-06,5230275.5
2023-11-07,5234102.5
2023-11-08,5238067.5
2023-11-09,5242170.5
2023-11-10,5246406.5
2023-11-11,5250766.5
2023-11-12,5255245.0
2023-11-13,5259842.5
2023-11-14,5264550.0
2023-11-15,5269372.0
2023-11-16,5274294.0
2023-11-17,5279321.5
2023-11-18,5284449.5
2023-11-19,5289673.0
2023-11-20,5294987.5
2023-11-21,5300388.5
2023-11-22,5305876.0
2023-11-23,5311440.0
2023-11-24,5317085.5
2023-11-25,5322803.5
2023-11-26,5328588.5
